Month,Area_name,Platform_name,Software_name,AoD
8,'Central China','Baidu Manage','Baidu Software Center',1286581
8,'East China','Baidu Manage','Baidu Software Center',2058490
8,'South China','Baidu Manage','Baidu Software Center',1801234
8,'Southwest','Baidu Manage','Baidu Software Center',1029263
9,'Central China','Baidu Manage','Baidu Software Center',1494208
9,'East China','Baidu Manage','Baidu Software Center',2390760
9,'South China','Baidu Manage','Baidu Software Center',2091888
9,'Southwest','Baidu Manage','Baidu Software Center',1195377
10,'Central China','Baidu Manage','Baidu Software Center',514697
10,'East China','Baidu Manage','Baidu Software Center',823528
10,'South China','Baidu Manage','Baidu Software Center',720588
10,'Southwest','Baidu Manage','Baidu Software Center',411761
