Month,Area_name,Platform_name,Software_name,AoD
8,'Central China','360 Browser','Baidu Software Center',120355
8,'East China','360 Browser','Baidu Software Center',192575
8,'South China','360 Browser','Baidu Software Center',168479
8,'Southwest','360 Browser','Baidu Software Center',96265
9,'Central China','360 Browser','Baidu Software Center',140377
9,'East China','360 Browser','Baidu Software Center',224610
9,'South China','360 Browser','Baidu Software Center',196544
9,'Southwest','360 Browser','Baidu Software Center',112338
10,'Central China','360 Browser','Baidu Software Center',48482
10,'East China','360 Browser','Baidu Software Center',77588
10,'South China','360 Browser','Baidu Software Center',67909
10,'Southwest','360 Browser','Baidu Software Center',38798
