Month,Area_name,Platform_name,Software_name,AoD
8,'Central China','WinRAR','Baidu Software Center',1387418
8,'East China','WinRAR','Baidu Software Center',2219835
8,'South China','WinRAR','Baidu Software Center',1942379
8,'Southwest','WinRAR','Baidu Software Center',1109943
9,'Central China','WinRAR','Baidu Software Center',1612128
9,'East China','WinRAR','Baidu Software Center',2579376
9,'South China','WinRAR','Baidu Software Center',2257000
9,'Southwest','WinRAR','Baidu Software Center',1289709
10,'Central China','WinRAR','Baidu Software Center',555515
10,'East China','WinRAR','Baidu Software Center',888830
10,'South China','WinRAR','Baidu Software Center',777727
10,'Southwest','WinRAR','Baidu Software Center',444409
